start_date,cols
2000-01-01,PINCOME
2000-01-01,PMSAVE
2000-01-01,PNFI
2000-01-01,PNFIC1
2000-01-01,POP
2000-01-01,POPTHM
2000-01-01,PRFI
2000-01-01,PRFIC1
2000-01-01,PROPINC
2000-01-01,PSAVE
2000-01-01,PSAVERT
2000-01-01,RCPHBS
2000-01-01,RENTIN
2000-01-01,REVOLNS
2000-01-01,REVOLSL
2000-01-01,RMFNS
2000-01-01,RMFSL
2000-01-01,RSBKCRNS
2000-01-01,SLCE
2000-01-01,SLCEC1
2000-01-01,SLDEF
2000-01-01,SLEXPND
2000-01-01,SLINV
2000-01-01,SLINVC96
2000-01-01,SRVPRD
2000-01-01,STDNS
2000-01-01,STDSL
2000-01-01,TB3MS
2000-01-01,TB6MS
2000-01-01,TGDEF
2000-01-01,TOTALNS
2000-01-01,TOTALSL
2000-01-01,TOTBORR
2000-01-01,TOTRESNS
2000-01-01,TREASURY
2000-01-01,UEMP15OV
2000-01-01,UEMP15T26
2000-01-01,UEMP27OV
2000-01-01,UEMP5TO14
2000-01-01,UEMPLT5
2000-01-01,UEMPMEAN
2000-01-01,UEMPMED
2000-01-01,ULCBS
2000-01-01,ULCMFG
2000-01-01,ULCNFB
2000-01-01,UMCSENT
2000-01-01,UNEMPLOY
2000-01-01,UNLPBS
2000-01-01,UNLPNBS
2000-01-01,UNRATE
2000-01-01,USCONS
2000-01-01,USFIRE
2000-01-01,USGOOD
2000-01-01,USGOVT
2000-01-01,USGSEC
2000-01-01,USMINE
2000-01-01,USPRIV
2000-01-01,USSERV
2000-01-01,USTPU
2000-01-01,USTRADE
2000-01-01,USWTRADE
2000-01-01,WAAA
2000-01-01,WASCUR
2000-01-01,WBAA
2000-01-01,WCPF1M
2000-01-01,WCPF2M
2000-01-01,WCPF3M
2000-01-01,WCPN1M
2000-01-01,WCPN2M
2000-01-01,WCPN3M
2000-01-01,WGS10YR
2000-01-01,WGS1YR
2000-01-01,WGS20YR
2000-01-01,WGS2YR
2000-01-01,WGS30YR
2000-01-01,WGS3MO
2000-01-01,WGS3YR
2000-01-01,WGS5YR
2000-01-01,WGS6MO
2000-01-01,WGS7YR
2000-01-01,WPRIME
2000-01-01,WTB3MS
2000-01-01,WTB6MS
